file_number,substrain,noise_spl,noise_type,abr_time,id,experimenter_id,freq_hz,level_db,f1,f2,level_f1,level_f2,level_distprod
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,45.0,26656.0,32000.0,32.22962188720703,17.29047393798828,-4.04937744140625
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,40.0,26656.0,32000.0,27.243492126464844,12.21502685546875,-13.520919799804688
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,35.0,26656.0,32000.0,22.282100677490234,7.409156799316406,-24.003005981445312
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,30.0,26656.0,32000.0,17.37317657470703,1.8714447021484375,-23.646896362304688
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,25.0,26656.0,32000.0,12.4207763671875,-3.219573974609375,-21.526649475097656
543,CaJ,100,baseline,baseline,C196_3,JF,32000.0,20.0,26656.0,32000.0,7.1928863525390625,-8.991767883300781,-18.14081573486328
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,80.0,6664.0,8000.0,74.87411117553711,64.82386875152588,23.068981170654297
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,75.0,6664.0,8000.0,69.86341857910156,59.805824279785156,19.643089294433594
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,70.0,6664.0,8000.0,64.9025182723999,54.81841468811035,16.633434295654297
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,65.0,6664.0,8000.0,59.91853713989258,49.84774208068848,12.588577270507812
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,60.0,6664.0,8000.0,54.92940711975098,44.867069244384766,8.836936950683594
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,55.0,6664.0,8000.0,49.93848419189453,39.88832473754883,4.19854736328125
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,50.0,6664.0,8000.0,44.92853927612305,34.950138092041016,-1.423492431640625
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,45.0,6664.0,8000.0,39.93716049194336,30.006423950195312,-7.7169189453125
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,40.0,6664.0,8000.0,34.94150924682617,24.971454620361328,-13.789680480957031
544,CaJ,100,baseline,baseline,C196_3,JF,8000.0,35.0,6664.0,8000.0,29.94244384765625,19.863658905029297,-21.41004180908203
